date,strategy,period,ls_ret,ls_ret_gross,ls_ret_pre_capeff,long_ret,short_pnl,long_turnover,short_turnover,avg_turnover,n_long,n_short,mkt_ret,tc_cost_monthly,borrow_cost_monthly,rebate_monthly,net_financing_monthly,rf_rate,avg_fscore_long,avg_fscore_short,nav,ret_1m,ret_3m,ret_6m,ret_12m,ret_24m,ret_36m,vol_12m,vol_36m,max_dd_6m,max_dd_12m,max_dd_36m,sharpe_12m,sharpe_36m,sortino_12m,sortino_36m,calmar_12m,calmar_36m,hit_rate_3m,hit_rate_6m,hit_rate_12m
1965-11-01,A_Value,in_sample,-0.011944,-0.019748,-0.017916,0.02546,-0.043375,0.028302,0.013569,0.020935,212,1474,0.039915,0.000209,0.00125,0.003292,0.002042,0.0035,2.768868,0.088195,0.979686,-0.011944,-0.049775,-0.032238,-0.026328,0.004066,0.025393,0.037271,0.031778,-0.049775,-0.049775,-0.049775,-1.73636,-0.632241,-2.050496,-0.903205,-0.528932,0.168631,0.0,0.5,0.5
1965-12-01,A_Value,in_sample,-0.036371,-0.05626,-0.054556,0.016758,-0.071315,0.018868,0.008814,0.013841,212,1475,0.060052,0.000138,0.00125,0.003092,0.001842,0.0033,2.778302,0.088136,0.944054,-0.036371,-0.062251,-0.072995,-0.057984,-0.026658,-0.003552,0.05066,0.038026,-0.084336,-0.084336,-0.084336,-1.916401,-0.793431,-2.144136,-1.013327,-0.687543,-0.014057,0.0,0.333333,0.5
1966-01-01,A_Value,in_sample,0.074455,0.118831,0.111683,0.087083,0.0246,0.916667,0.981308,0.948988,24,214,0.027339,0.00949,0.00125,0.003592,0.002342,0.0038,1.333333,2.696262,1.014344,0.074455,0.02301,-0.008352,0.015666,0.046347,0.0855,0.094214,0.056664,-0.084336,-0.084336,-0.084336,-0.213262,-0.039464,-0.432873,-0.075093,0.185759,0.328737,0.333333,0.333333,0.583333
1966-02-01,A_Value,in_sample,0.029238,0.042504,0.043857,0.030424,0.013433,0.090909,0.046729,0.068819,22,214,-0.012458,0.000688,0.00125,0.003292,0.002042,0.0035,1.136364,2.654206,1.044001,0.029238,0.065649,0.012606,0.054811,0.067391,0.115093,0.097227,0.05874,-0.062251,-0.084336,-0.084336,0.18321,0.097748,0.377326,0.192404,0.649918,0.438483,0.666667,0.333333,0.666667
1966-03-01,A_Value,in_sample,0.042858,0.062302,0.064287,0.075701,-0.011415,0.043478,0.028037,0.035758,23,214,0.044954,0.000358,0.00125,0.003592,0.002342,0.0038,1.130435,2.663551,1.088745,0.042858,0.153266,0.081474,0.089676,0.113513,0.149816,0.104438,0.062913,-0.04788,-0.084336,-0.084336,0.490289,0.240034,1.083695,0.503474,1.063318,0.564809,1.0,0.5,0.666667
1966-04-01,A_Value,in_sample,-0.062319,-0.094557,-0.093478,-0.134808,0.04133,0.153846,0.018692,0.086269,26,214,-0.086166,0.000863,0.00125,0.003192,0.001942,0.0034,1.230769,2.663551,1.020896,-0.062319,0.006459,0.029618,0.014182,0.031748,0.077858,0.125682,0.07366,-0.062319,-0.084336,-0.084336,-0.153537,-0.09633,-0.263222,-0.154134,0.168166,0.300073,0.666667,0.5,0.583333
1966-05-01,A_Value,in_sample,0.008742,0.010949,0.013113,-0.006331,0.019443,0.076923,0.018692,0.047807,26,214,-0.005523,0.000478,0.00125,0.003892,0.002642,0.0041,1.153846,2.668224,1.02982,0.008742,-0.013584,0.051174,0.017286,0.028958,0.093481,0.125823,0.073595,-0.062319,-0.084336,-0.084336,-0.136838,-0.049425,-0.234767,-0.078798,0.204962,0.35853,0.666667,0.666667,0.583333
1966-06-01,A_Value,in_sample,-0.018179,-0.029517,-0.027268,-0.035853,0.008585,0.0,0.018605,0.009302,25,215,-0.01643,9.3e-05,0.00125,0.003592,0.002342,0.0038,1.2,2.67907,1.011099,-0.018179,-0.071317,0.071019,-0.00716,0.013861,0.07658,0.127306,0.07452,-0.071317,-0.084336,-0.084336,-0.328199,-0.134887,-0.579847,-0.214497,-0.084898,0.295266,0.333333,0.666667,0.5
1966-07-01,A_Value,in_sample,-0.012515,-0.014232,-0.018772,-0.096378,0.077606,0.92093,0.395349,0.65814,215,215,-0.100644,0.006581,0.00125,0.003292,0.002042,0.0035,2.376744,2.553488,0.998446,-0.012515,-0.02199,-0.015673,-0.023894,0.003361,0.047552,0.127792,0.074611,-0.082939,-0.084336,-0.084336,-0.463158,-0.260866,-0.845465,-0.414675,-0.283322,0.185044,0.333333,0.5,0.416667
1966-08-01,A_Value,in_sample,-0.018481,-0.029229,-0.027721,-0.02201,-0.005712,0.12963,0.097222,0.113426,216,216,-0.017208,0.001134,0.00125,0.003892,0.002642,0.0041,2.342593,2.555556,0.979994,-0.018481,-0.048384,-0.06131,-0.049477,-0.016205,0.037833,0.128417,0.075254,-0.099887,-0.099887,-0.099887,-0.673421,-0.306066,-1.279562,-0.483856,-0.495329,0.124692,0.0,0.333333,0.333333
1966-09-01,A_Value,in_sample,-0.057629,-0.085726,-0.086443,-0.02464,-0.061803,0.347518,0.304147,0.325833,141,217,-0.013946,0.003258,0.00125,0.003792,0.002542,0.004,1.77305,2.635945,0.923518,-0.057629,-0.08662,-0.151759,-0.08265,-0.072903,-0.029421,0.138332,0.082446,-0.103224,-0.151759,-0.151759,-0.877006,-0.547598,-1.519871,-0.799928,-0.544611,-0.065267,0.0,0.166667,0.333333
1966-10-01,A_Value,in_sample,0.047177,0.069238,0.070765,0.091371,-0.020607,0.173913,0.129032,0.151473,23,217,0.040628,0.001515,0.00125,0.004292,0.003042,0.0045,1.086957,2.746544,0.967086,0.047177,-0.031408,-0.052708,-0.024651,-0.031612,0.00845,0.147774,0.08683,-0.103224,-0.151759,-0.151759,-0.409041,-0.376434,-0.729485,-0.577435,-0.162436,0.018507,0.333333,0.333333,0.416667
1966-11-01,A_Value,in_sample,-0.009208,-0.007013,-0.013812,0.006136,-0.019948,0.939815,0.928273,0.934044,216,1436,0.016925,0.00934,0.00125,0.003792,0.002542,0.004,2.291667,0.336351,0.958181,-0.009208,-0.022258,-0.069564,-0.021951,-0.0477,-0.017974,0.147583,0.086413,-0.08662,-0.151759,-0.151759,-0.394284,-0.486344,-0.700964,-0.745703,-0.144641,-0.039718,0.333333,0.166667,0.416667
1966-12-01,A_Value,in_sample,0.061485,0.092819,0.092227,0.169598,-0.077371,0.299539,0.327189,0.313364,217,217,0.168153,0.003134,0.00125,0.003792,0.002542,0.004,2.225806,2.589862,1.017095,0.061485,0.101327,0.00593,0.07737,0.014899,0.048649,0.154301,0.093366,-0.075045,-0.151759,-0.151759,0.25405,-0.213164,0.476893,-0.350862,0.509818,0.105168,0.666667,0.333333,0.5
1967-01-01,A_Value,in_sample,0.032435,0.050834,0.048653,0.049991,-0.001338,0.536697,0.46789,0.502294,218,218,0.039188,0.005023,0.00125,0.004092,0.002842,0.0043,1.990826,2.761468,1.050084,0.032435,0.085823,0.051719,0.035235,0.051453,0.083216,0.139293,0.095025,-0.057629,-0.151759,-0.151759,-0.024459,-0.098195,-0.041389,-0.163853,0.232179,0.177932,0.666667,0.5,0.5
1967-02-01,A_Value,in_sample,0.007511,0.011808,0.011266,0.054717,-0.04345,0.288991,0.247706,0.268349,218,218,0.057136,0.002683,0.00125,0.003392,0.002142,0.0036,2.206422,2.701835,1.057972,0.007511,0.104146,0.07957,0.013381,0.068926,0.081674,0.136605,0.094996,-0.009208,-0.151759,-0.151759,-0.185391,-0.106832,-0.307441,-0.178166,0.088176,0.174721,1.0,0.666667,0.5
1967-03-01,A_Value,in_sample,0.009439,0.014813,0.014158,0.048462,-0.034303,0.266055,0.353211,0.309633,218,218,0.041202,0.003096,0.00125,0.003692,0.002442,0.0039,2.201835,2.610092,1.067958,0.009439,0.050008,0.156402,-0.019093,0.068871,0.092253,0.12956,0.095062,-0.009208,-0.103224,-0.151759,-0.455601,-0.075157,-0.716005,-0.125058,-0.184966,0.1967,1.0,0.833333,0.5
1967-04-01,A_Value,in_sample,0.012868,0.021398,0.019301,-0.014508,0.033809,0.35023,0.417431,0.383831,217,218,-0.008724,0.003838,0.00125,0.002992,0.001742,0.0032,2.124424,2.761468,1.0817,0.012868,0.030107,0.118514,0.059559,0.074586,0.093199,0.111237,0.095092,0.0,-0.103224,-0.151759,0.150064,-0.073111,0.2622,-0.12168,0.576992,0.198658,1.0,0.833333,0.583333
1967-05-01,A_Value,in_sample,0.033236,0.049926,0.049854,0.082703,-0.032848,0.212963,0.169725,0.191344,216,218,0.08096,0.001913,0.00125,0.003092,0.001842,0.0033,2.037037,2.715596,1.117651,0.033236,0.056409,0.16643,0.085288,0.104048,0.116716,0.114705,0.096587,0.0,-0.08662,-0.151759,0.366119,0.001017,0.660663,0.001719,0.984623,0.246989,1.0,1.0,0.583333
